case_id,timestamp_utc,latitude,longitude,ward_name,species,animal_name,estimated_age,severity,injury_type,aggression_level,bystander_action,reporter_age_group,reporter_prior_exp,volunteer_id,response_time_min,resolution_status,animal_id
CASE-0001,2026-01-01T01:53:30Z,12.951223,77.70215,Marathahalli,Cat,Indian domestic cat,Kitten,2,small tick infestation,3,none,36-50,no,VOL-004,9.0,Resolved,ANIM-0016
CASE-0002,2026-01-05T02:01:36Z,13.028446,77.585665,Hebbal,Cat,Indian domestic cat,Senior,1,"appears healthy, needs shelter",2,fed,26-35,yes,VOL-004,17.8,Resolved,ANIM-0006
CASE-0003,2026-01-05T03:31:58Z,12.910242,77.61779,BTM Layout,Dog,German Shepherd mix,Adult,1,no visible injury - healthy stray,4,fed,18-25,no,VOL-006,5.6,Resolved,ANIM-0042
CASE-0004,2026-01-06T05:32:54Z,12.934565,77.574595,Basavanagudi,Dog,Indie dog,Adult,1,malnourished but mobile,3,contacted_ngo,50+,no,,,Unresolved,
CASE-0005,2026-01-08T10:30:20Z,12.912706,77.607921,BTM Layout,Dog,German Shepherd mix,Puppy,1,no visible injury - healthy stray,2,none,50+,no,VOL-014,12.8,Resolved,ANIM-0057
CASE-0006,2026-01-08T17:45:52Z,12.970863,77.52377,Vijayanagar,Dog,German Shepherd mix,Puppy,2,eye discharge,3,none,26-35,no,,,Unresolved,
CASE-0007,2026-01-12T07:51:31Z,12.944762,77.578631,Basavanagudi,Dog,Indie dog,Adult,1,"underweight, roaming freely",2,contacted_ngo,18-25,no,,,Unresolved,
CASE-0008,2026-01-14T09:21:42Z,12.942589,77.578907,Basavanagudi,Goat,Injured goat,Adult,2,minor skin abrasion,3,fed,18-25,no,VOL-006,1.0,Resolved,ANIM-0023
CASE-0009,2026-01-20T06:12:18Z,12.907982,77.646319,HSR Layout,Cat,Indian domestic cat,Kitten,1,"appears healthy, needs shelter",2,fed,26-35,no,,,Unresolved,
CASE-0010,2026-01-21T09:04:18Z,12.990557,77.59882,Shivajinagar,Dog,Indie dog,Adult,2,small tick infestation,3,none,18-25,no,,,Unresolved,
CASE-0011,2026-01-21T15:54:37Z,12.914763,77.644169,HSR Layout,Dog,Labrador mix,Adult,1,no visible injury - healthy stray,5,contacted_ngo,18-25,no,,,Unresolved,
CASE-0012,2026-01-22T17:20:28Z,12.958375,77.700727,Marathahalli,Cat,Indian domestic cat,Kitten,1,malnourished but mobile,3,contacted_ngo,26-35,yes,,,Unresolved,
CASE-0013,2026-01-23T07:24:15Z,12.975002,77.642125,Indiranagar,Dog,Spitz mix,Adult,1,malnourished but mobile,1,fed,18-25,yes,,,Unresolved,
CASE-0014,2026-01-24T06:42:43Z,12.929855,77.672174,Bellandur,Cat,Indian domestic cat,Kitten,5,critical - unconscious,4,none,36-50,yes,VOL-010,1.1,Resolved,ANIM-0009
